episode,win_rate,epsilon
62000,0.61,0.1
62100,0.61,0.1
62200,0.57,0.1
62300,0.57,0.1
62400,0.62,0.1
62500,0.59,0.1
62600,0.615,0.1
62700,0.56,0.1
62800,0.64,0.1
62900,0.58,0.1
63000,0.57,0.1
63100,0.565,0.1
63200,0.555,0.1
63300,0.59,0.1
63400,0.7,0.1
63500,0.705,0.1
63600,0.805,0.1
63700,0.745,0.1
63800,0.665,0.1
63900,0.77,0.1
64000,0.745,0.1
64100,0.75,0.1
64200,0.8,0.1
64300,0.76,0.1
64400,0.69,0.1
64500,0.695,0.1
64600,0.71,0.1
64700,0.6,0.1
64800,0.665,0.1
64900,0.555,0.1
65000,0.53,0.1
65100,0.575,0.1
65200,0.755,0.1
65300,0.76,0.1
65400,0.68,0.1
65500,0.64,0.1
65600,0.77,0.1
65700,0.79,0.1
65800,0.795,0.1
65900,0.715,0.1
66000,0.72,0.1
66100,0.665,0.1
66200,0.61,0.1
66300,0.74,0.1
66400,0.705,0.1
66500,0.75,0.1
66600,0.735,0.1
66700,0.735,0.1
66800,0.715,0.1
66900,0.77,0.1
67000,0.74,0.1
67100,0.485,0.1
67200,0.625,0.1
67300,0.72,0.1
67400,0.65,0.1
67500,0.765,0.1
67600,0.71,0.1
67700,0.74,0.1
67800,0.605,0.1
67900,0.74,0.1
68000,0.6,0.1
68100,0.785,0.1
68200,0.715,0.1
68300,0.735,0.1
68400,0.805,0.1
68500,0.52,0.1
68600,0.58,0.1
68700,0.71,0.1
68800,0.755,0.1
68900,0.74,0.1
69000,0.715,0.1
69100,0.735,0.1
69200,0.54,0.1
69300,0.715,0.1
69400,0.765,0.1
69500,0.71,0.1
69600,0.645,0.1
69700,0.845,0.1
69800,0.78,0.1
69900,0.78,0.1
70000,0.81,0.1
70100,0.745,0.1
70200,0.8,0.1
70300,0.81,0.1
70400,0.78,0.1
70500,0.795,0.1
70600,0.855,0.1
70700,0.625,0.1
70800,0.615,0.1
70900,0.72,0.1
71000,0.67,0.1
71100,0.55,0.1
71200,0.53,0.1
71300,0.79,0.1
71400,0.815,0.1
71500,0.79,0.1
71600,0.795,0.1
71700,0.715,0.1
71800,0.82,0.1
71900,0.805,0.1
72000,0.785,0.1
72100,0.765,0.1
72200,0.765,0.1
72300,0.79,0.1
72400,0.73,0.1
72500,0.705,0.1
72600,0.64,0.1
72700,0.635,0.1
72800,0.735,0.1
72900,0.7,0.1
73000,0.64,0.1
73100,0.73,0.1
73200,0.685,0.1
73300,0.675,0.1
73400,0.615,0.1
73500,0.75,0.1
73600,0.645,0.1
73700,0.725,0.1
73800,0.735,0.1
73900,0.65,0.1
74000,0.54,0.1
74100,0.67,0.1
74200,0.66,0.1
74300,0.61,0.1
74400,0.685,0.1
74500,0.715,0.1
74600,0.74,0.1
74700,0.745,0.1
74800,0.705,0.1
74900,0.71,0.1
75000,0.675,0.1
75100,0.715,0.1
75200,0.755,0.1
75300,0.705,0.1
75400,0.69,0.1
75500,0.745,0.1
75600,0.545,0.1
75700,0.685,0.1
75800,0.75,0.1
75900,0.765,0.1
76000,0.63,0.1
76100,0.755,0.1
76200,0.66,0.1
76300,0.675,0.1
76400,0.635,0.1
76500,0.71,0.1
76600,0.67,0.1
76700,0.665,0.1
76800,0.69,0.1
76900,0.755,0.1
77000,0.735,0.1
77100,0.77,0.1
77200,0.595,0.1
77300,0.705,0.1
77400,0.61,0.1
77500,0.715,0.1
77600,0.655,0.1
77700,0.535,0.1
77800,0.74,0.1
77900,0.685,0.1
78000,0.645,0.1
78100,0.635,0.1
78200,0.45,0.1
78300,0.655,0.1
78400,0.615,0.1
78500,0.78,0.1
78600,0.68,0.1
78700,0.745,0.1
78800,0.72,0.1
78900,0.64,0.1
79000,0.7,0.1
79100,0.72,0.1
79200,0.625,0.1
79300,0.76,0.1
79400,0.705,0.1
79500,0.71,0.1
79600,0.775,0.1
79700,0.72,0.1
79800,0.775,0.1
79900,0.765,0.1
80000,0.735,0.1
80100,0.805,0.1
80200,0.755,0.1
80300,0.78,0.1
80400,0.78,0.1
80500,0.59,0.1
80600,0.8,0.1
80700,0.78,0.1
80800,0.82,0.1
80900,0.85,0.1
81000,0.775,0.1
81100,0.785,0.1
81200,0.815,0.1
81300,0.63,0.1
81400,0.6,0.1
81500,0.59,0.1
81600,0.64,0.1
81700,0.615,0.1
81800,0.67,0.1
81900,0.66,0.1
82000,0.595,0.1
82100,0.68,0.1
82200,0.66,0.1
82300,0.67,0.1
82400,0.77,0.1
82500,0.745,0.1
82600,0.75,0.1
82700,0.765,0.1
82800,0.735,0.1
82900,0.74,0.1
83000,0.775,0.1
83100,0.785,0.1
83200,0.77,0.1
83300,0.62,0.1
83400,0.815,0.1
83500,0.785,0.1
83600,0.8,0.1
83700,0.665,0.1
83800,0.69,0.1
83900,0.52,0.1
84000,0.66,0.1
84100,0.675,0.1
84200,0.81,0.1
84300,0.765,0.1
84400,0.73,0.1
84500,0.705,0.1
84600,0.625,0.1
84700,0.76,0.1
84800,0.685,0.1
84900,0.715,0.1
85000,0.74,0.1
85100,0.76,0.1
85200,0.77,0.1
85300,0.7,0.1
85400,0.695,0.1
85500,0.795,0.1
85600,0.74,0.1
85700,0.825,0.1
85800,0.815,0.1
